Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AGRESSION_WAR_NAME_REPARATIONS_PEU_CHL;The $ORDER$War of the Pacific;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_BOL_CHL;The $ORDER$War of the Pacific;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS;$ORDER$War of $FIRST$ Aggression;;;;;;;;;;;;;
colonial_conquest;Colonial Conquest;;;;;;;;;;;;;
colonial_conquest_desc;Acquire an enemy §Ystate§W where we have §Ycolonial claims§W, but this will gives us a random amount of §Rinfamy§W from §R0.5 to 2§W.;;;;;;;;;;;;;
colonial_conquest_short;Acquire $STATE$;;;;;;;;;;;;;
colonial_conquest_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
war_reparations;Reparations;;;;;;;;;;;;;
war_reparations_desc;Demand §Yreparations§W from $RECIPIENT$.;;;;;;;;;;;;;
war_reparations_short;Demand Reparations;;;;;;;;;;;;;
war_reparations_setup;Demand §Yreparations§W from $RECIPIENT$.;;;;;;;;;;;;;
install_democracy_make_puppet;Restore Monarchy ;;;;;;;;;;;;;
install_democracy_make_puppet_desc;Install a monarchist puppet government§ in the $RECIPIENT$'s capital;;;;;;;;;;;;;
install_democracy_make_puppet_short;Install a monarchist puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_democracy_make_puppet_setup;Install a monarchist puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_communism_make_puppet;Spread the Revolution;;;;;;;;;;;;;
install_communism_make_puppet_desc;Install a revolutionary puppet government in the $RECIPIENT$'s capital;;;;;;;;;;;;;
install_communism_make_puppet_short;Install a revolutionary puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_communism_make_puppet_setup;Install a revolutionary puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_fascism_make_puppet;Spread Revolutionary Spirit;;;;;;;;;;;;;
install_fascism_make_puppet_desc;Install a revolutionary puppet government in the $RECIPIENT$'s capital;;;;;;;;;;;;;
install_fascism_make_puppet_short;Install a revolutionary puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_fascism_make_puppet_setup;Install a revolutionary puppet government in $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_BOR_EGY;$ORDER$French Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_FRA_EGY;$ORDER$French Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_NET_EGY;$ORDER$Dutch Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_SPA_EGY;$ORDER$Spanish Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_AUS_EGY;$ORDER$Austrian Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_RUS_EGY;$ORDER$Russian Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_PRU_EGY;$ORDER$Prussian Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_ENG_EGY;$ORDER$British Intervention in Egypt;;;;;;;;;;;;;
AGRESSION_WAR_NAME_TUR_ITA;The $ORDER$Italo-Turkish War;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_QNG_PGG;The $ORDER$Panthay Rebellion;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_QNG_UYG;The $ORDER$Dungan Revolt;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_QNG_XBI;The $ORDER$Dungan Revolt;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_XBI;The Dungan Revolt in Qinghai;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_BHR_QAT;$ORDER$Qatari–Bahraini War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_BHR_QAT;$ORDER$Qatari–Bahraini War;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_CIR;The $ORDER$Russo-Circassian War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_CIR;The $ORDER$Russo-Circassian War;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_DAG;The $ORDER$Murid War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_DAG;The $ORDER$Murid War;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_PNJ;The $ORDER$Anglo–Sikh War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_ENG_PNJ;The $ORDER$Anglo–Sikh War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_ARC_ENT;The $ORDER$Platine War;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_ARC_ENT;The $ORDER$Platine War;;;;;;;;;;;;;
NO_ALLOWED_STATES;(There are no applicable states).;;;;;;;;;;;;;
po_reduce_prestige;Prestige is reduced by §R-$VALUE$§W.;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;The $ORDER$Opium War;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;The $ORDER$Opium War;;;;;;;;;;;;;
treaty_port_casus_belli;Punitive Expedition;;;;;;;;;;;;;
treaty_port_casus_belli_desc;Force a §Ycountry§W to negotiate an §Yunequal treaty§W, which includes a §Ytreaty port§W if there's one available.;;;;;;;;;;;;;
treaty_port_casus_belli_short;Negotiate an unequal treaty;;;;;;;;;;;;;
treaty_port_casus_belli_setup;Force a §Ycountry§W to negotiate an §Yunequal treaty§W, which includes a §Ytreaty port§W if there's one available;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME_HAI_DOM;$ORDER$Dominican War of Independence;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_HAI_DOM;$ORDER$Dominican War of Independence;;;;;;;;;;;;;
