Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HAS_NO_UNION_TAG;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;
breton;Breton;Breton;Bretonisch;;;;;;;;;;;
occitan;Occitan;Occitain;Occitanisch;;;;;;;;;;;
HAS_GOODS;produces ;;;;;;;;;;;;;
assyrian;Assyrian;;;;;;;;;;;;;
xhosa;Xhosa;;;;;;;;;;;;;
shinto;Shinto;;;;;;;;;;;;;
sephardic;Sephardic;;;;;;;;;;;;;
picard;Picard;;;;;;;;;;;;;
jewish_cultures;Jewish;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
arabic;Arabic;;;;;;;;;;;;;
sart;Sart;;;;;;;;;;;;;
qaraqalpaq;Qaraqalpaq;;;;;;;;;;;;;
pamiri;Pamiri;;;;;;;;;;;;;
pan_albanian;Albanian;;;;;;;;;;;;;
HAS_SIEGE;Under Siege;;;;;;;;;;;;;
separatist_rebels_title;Patriot;;;;;;;;;;;;;
separatist_rebels_name;$CULTURE$ Patriots;;;;;;;;;;;;;
separatist_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;;
separatist_rebels_army;$CULTURE$ Patriots;;;;;;;;;;;;;
turkish_nationalist_rebels_title;Turkish Nationalist;;;;;;;;;;;;;
turkish_nationalist_rebels_name;Turkish Nationalists;;;;;;;;;;;;;
turkish_nationalist_rebels_desc;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;;;;;;;;;;;;;
turkish_nationalist_rebels_army;Turkish Nationalists;;;;;;;;;;;;;
socialist_rebels_title;Militant Socialist;;;;;;;;;;;;;
socialist_rebels_name;Militant Socialists;;;;;;;;;;;;;
socialist_rebels_army;Militant Socialists;;;;;;;;;;;;;
indian_nationalists_title;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;
indian_nationalists_name;Indian Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;
indian_nationalists_desc;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;;
indian_nationalists_army;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;
christino_rebels_title;Christino;;;;;;;;;;;;;
christino_rebels_name;Christinos;;;;;;;;;;;;;
christino_rebels_desc;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;;;;;;;;;;;;;
christino_rebels_army;Christinos;;;;;;;;;;;;;
independence_rebels_title;Independence;;;;;;;;;;;;;
independence_rebels_name;Independence Rebels;;;;;;;;;;;;;
independence_rebels_desc;These rebels seek to free the country from its vassal status.;;;;;;;;;;;;;
independence_rebels_army;Independence Rebels;;;;;;;;;;;;;
native_rebels_title;Anti-Colonial;;;;;;;;;;;;;
native_rebels_name;Anti-Colonial Rebels;;;;;;;;;;;;;
native_rebels_desc;These rebels seek to restore rulership of the country to its proper native culture.;;;;;;;;;;;;;
native_rebels_army;Anti-Colonial Rebels;;;;;;;;;;;;;
NOT_STRONGER_ARMY_THAN;Does not have a stronger military than ;;;;;;;;;;;;;
STRONGER_ARMY_THAN;Has a stronger military than ;;;;;;;;;;;;;
regular;Regular;;;;;;;;;;;;;
regular_short;Reg;;;;;;;;;;;;;
horse_artillery;Mobile Artillery;;;;;;;;;;;;;
horse_artillery_short;M-art;;;;;;;;;;;;;
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;
active_p;Active;Actif;Aktiv;;;;;;;;;;;
au_fait;Au'fait;Au fait;Sicher;;;;;;;;;;;
apathetic;Apathetic;;;;;;;;;;;;;
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;
able;Able;Capable;Fähig;;;;;;;;;;;
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;
aggressive;Aggressive;Agressif;Aggressiv;;;;;;;;;;;
arrogant;Arrogant;Arrogant;Arrogant;;;;;;;;;;;
balanced_p;Balanced;Pondéré;Ausgewogen;;;;;;;;;;;
bigoted;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;
brilliant;Brilliant;Brillant;Brilliant;;;;;;;;;;;
brutish;Brutish;Brutal;Brutal;;;;;;;;;;;
bold;Bold;Téméraire;Mutig;;;;;;;;;;;
brash;Brash;Impudent;Forsch;;;;;;;;;;;
ballsy;Ballsy;Valeureux;Forsch;;;;;;;;;;;
bastard;Bastard;Goujat;Bastard;;;;;;;;;;;
cautious;Cautious;Prudent;Vorsichtig;;;;;;;;;;;
coward;Coward;Couard;Kleinmütig;;;;;;;;;;;
chickenhearted;Chickenhearted;Poltron;Ängstlich;;;;;;;;;;;
craven;Craven;Veule;Mutlos;;;;;;;;;;;
competent;Competent;Compétent;Kompetent;;;;;;;;;;;
clever;Clever;Adroit;Clever;;;;;;;;;;;
careless;Careless;Négligent;Achtlos;;;;;;;;;;;
calm;Calm;Calme;Ruhig;;;;;;;;;;;
cool_minded;Coolminded;Serein;Bedachtsam;;;;;;;;;;;
careful;Careful;Attentif;Sorgsam;;;;;;;;;;;
cruel;Cruel;;;;;;;;;;;;;
choleric;Choleric;Colérique;Cholerisch;;;;;;;;;;;
charismatic;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;
chivalrous;Chivalrous;Courtois;Ritterlich;;;;;;;;;;;
confident;Confident;Confiant;Sicher;;;;;;;;;;;
doughty;Doughty;Vaillant;Tapfer;;;;;;;;;;;
defiant;Defiant;Provocateur;Trotzig;;;;;;;;;;;
disciplined;Disciplined;Discipliné;Diszipliniert;;;;;;;;;;;
diligent;Diligent;;;;;;;;;;;;;
dauntless;Dauntless;Déterminé;Unverzagt;;;;;;;;;;;
daring;Daring;Hardi;Draufgängerisch;;;;;;;;;;;
disorderly;Disorderly;Désordonné;Unordentlich;;;;;;;;;;;
decisive;Decisive;;;;;;;;;;;;;
dumb;Dumb;;;;;;;;;;;;;
diplomatic;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;
deeply_religious;Deeply Religious;Très croyant;Tief religiös;;;;;;;;;;;
expert;Expert;Expert;Experte;;;;;;;;;;;
energetic;Energetic;;;;;;;;;;;;;
efficient;Efficient;Efficace;Effizient;;;;;;;;;;;
emotional;Emotional;;;;;;;;;;;;;
earnest;Earnest;Sérieux;Ernsthaft;;;;;;;;;;;
fearless;Fearless;;;;;;;;;;;;;
forgiving;Forgiving;;;;;;;;;;;;;
fanatic;Fanatic;Fanatique;Fanatisch;;;;;;;;;;;
gallant;Gallant;Courageux;Galant;;;;;;;;;;;
glory_hound;Glory Hound;Ambitieux;Ruhmsüchtig;;;;;;;;;;;
genius;Genius;;;;;;;;;;;;;
gutsy;Gutsy;Brave;Waghalsig;;;;;;;;;;;
harsh;Harsh;Dur;Harsch;;;;;;;;;;;
hellbent;Hellbent;Acharné;Draufgänger;;;;;;;;;;;
heroic;Heroic;Héroïque;Heroisch;;;;;;;;;;;
irresponsible;Irresponsible;;;;;;;;;;;;;
imaginative;Imaginative;;;;;;;;;;;;;
indecisive;Indecisive;;;;;;;;;;;;;
inspiring;Inspiring;Stimulant;Inspirierend;;;;;;;;;;;
impetuous;Impetuous;Impétueux;Ungestüm;;;;;;;;;;;
implacable;Implacable;Implacable;Unerbittlich;;;;;;;;;;;
imperious;Imperious;Autoritaire;Herrisch;;;;;;;;;;;
irate;Irate;Furieux;Aufbrausend;;;;;;;;;;;
intuitive;Intuitive;Intuitif;Intuitiv;;;;;;;;;;;
impulsive;Impulsive;Impulsif;Impulsiv;;;;;;;;;;;
incapable;Incapable;Incapable;Unfähig;;;;;;;;;;;
indifferent;Indifferent;Indifférent;Gleichgültig;;;;;;;;;;;
intelligent;Intelligent;Intelligent;Intelligent;;;;;;;;;;;
inept;Inept;Inepte;Untauglich;;;;;;;;;;;
inefficient;Inefficient;Inefficace;Ineffizient;;;;;;;;;;;
keen;Keen;Enthousiaste;Gewitzt;;;;;;;;;;;
lilylivered;Lilylivered;Froussard;Feige;;;;;;;;;;;
lackluster;Lackluster;Terne;Lustlos;;;;;;;;;;;
merciless;Merciless;Impitoyable;Gnadenlos;;;;;;;;;;;
meticulous;Meticulous;Méticuleux;Genau;;;;;;;;;;;
manful;Manful;Ardent;Männlich;;;;;;;;;;;
madman;Madman;Fou;Irrer;;;;;;;;;;;
mediocre;Mediocre;Médiocre;Mittelmäßig;;;;;;;;;;;
maladroit;Maladroit;Maladroit;Unbeholfen;;;;;;;;;;;
openminded;Openminded;Ouvert d'esprit;Offen;;;;;;;;;;;
persistant;Persistant;Persévérant;Hartnäckig;;;;;;;;;;;
pompous;Pompous;;;;;;;;;;;;;
paranoid;Paranoid;;;;;;;;;;;;;
polite;Polite;Poli;Höflich;;;;;;;;;;;
pusillanimous;Pusillanimous;Pusillanime;Verzagt;;;;;;;;;;;
pisspoor;Pisspoor;Pitoyable;Arm;;;;;;;;;;;
perverse;Perverse;Entêté;Pervers;;;;;;;;;;;
resourceful;Resourceful;Ingénieux;Findig;;;;;;;;;;;
respectful;Respectful;;;;;;;;;;;;;
romantic;Romantic;Romantique;Romantisch;;;;;;;;;;;
relentless;Relentless;Implacable;Unbarmherzig;;;;;;;;;;;
reserved;Reserved;Réservé;Reserviert;;;;;;;;;;;
resolute;Resolute;Résolu;Resolut;;;;;;;;;;;
